place_name,rating,shop_type,sentence,TargetAspect,sentiment,is_synthetic,ground_truth,is_tie,vote_breakdown
Whisk Davao Matcha,5,matcha,"The Signature Cacao was amazing, you can really taste the …",Product Quality,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,Matcha Bar offers a vibrant and welcoming ambiance that creates a truly enjoyable café experience.,Product Quality,NEUTRAL,False,,,
Espresso Lab Cafe Davao,5,coffee,Excellent taste of coffee and pastries,Product Quality,POSITIVE,False,,,
Hid'n Coffee,2,coffee,1 tending to the coffee and 2 tending to the food.,Product Quality,NEUTRAL,False,,,
The Bloom Coffee & Start-Up Space,5,coffee,"5/5, 100/100, perfect coffee shop.",Product Quality,POSITIVE,False,,,
Brew and Cinnamon Cafe,4,coffee,"This cafe shop offers a warm, inviting ambiance, exceptional coffee, and friendly service that make it a must visit spot.",Product Quality,POSITIVE,False,,,
Darkk Coffee Co.,5,coffee,Dark coffee is a must try for coffee enthisiasts like me.,Product Quality,POSITIVE,False,,,
Good One Cafe and Yogurt,5,coffee,very aesthetic and loved the yogurt and drinks,Product Quality,POSITIVE,False,,,
TALA Cafe,5,coffee,"Honey vibe, good food and coffee",Product Quality,POSITIVE,False,,,
Blnko Street Cafe,5,coffee,"From expertly crafted coffee to refreshing non-coffee beverages, every drink is thoughtfully prepared with quality and consistency in mind.",Product Quality,POSITIVE,False,,,
Brew and Cinnamon Cafe,5,coffee,My girlfriend and I visit this café several times every month because it's one of our favorite places to relax and enjoy great food together.,Product Quality,POSITIVE,False,,,
Paramount Coffee Crocodile Park Davao,5,coffee,Best local coffee dria sa davao  pink_heart,Product Quality,POSITIVE,False,,,
The Matcha Tokyo - Azuela High Street,4,matcha,"The flavor was rich, earthy, and noticeably more authentic than the average café matcha latte, with a pleasant umami depth and just the right level of sweetness.",Product Quality,POSITIVE,False,,,
Green Bread - Matina,5,coffee,Very aesthetic place good service and the staff so friendly and especially to the chef lami mag luto kudos to all balik balik kami <3,Product Quality,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,3,matcha,I love the Matcha drinks and soft serve ice cream.,Product Quality,POSITIVE,False,,,
Kingdom Cafe & Bistro,5,coffee,"Overall, Kingdom Cafe and Bistro is a hidden gem that provides an exceptional coffee shop experience.",Product Quality,POSITIVE,False,,,
Knto Cinco - Puan Branch,5,coffee,Coffee is good too maple_leaf,Product Quality,POSITIVE,False,,,
Cafe Demitasse,4,coffee,Their coffee's distinct flavor and taste is what I truly love and sets them apart from the rest.,Product Quality,POSITIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",3,coffee,"First, the coffee is so good, my friends and I would rate it a 9/10.",Product Quality,POSITIVE,False,,,
The Matcha Tokyo - Azuela High Street,5,matcha,update: the hot matcha latte is so good with the latte art.,Product Quality,POSITIVE,False,,,
Starbucks - SM Lanang,4,coffee,Excellent location cleverly situated in the second floor of the mall giving you a good view of all the shops and people traffic activity.,Store Operations and Accessibility,POSITIVE,False,,,
Paramount Coffee - Twin Palms,4,coffee,"Unavoidably along the road right beside Twin Palms Residences, your eyes will revert to the two floors of space and sufficient parking lot.",Store Operations and Accessibility,POSITIVE,False,,,
Starbucks - Matina IT Park,5,coffee,Spacious and Accessible,Store Operations and Accessibility,POSITIVE,False,,,
Starbucks - SM Lanang,5,coffee,Coffee and pastries is on one good location,Store Operations and Accessibility,POSITIVE,False,,,
Haron's Cafe,5,coffee,The most beautiful coffee shop in Dafawa city... open 24 hours,Store Operations and Accessibility,POSITIVE,False,,,
Habitat Coffee - Tionko Branch,4,coffee,Small cafe with an open-air space and an additional nicely-decorated second floor.,Store Operations and Accessibility,POSITIVE,False,,,
Apo Cafe,5,coffee,Great and accessible Halal cafe with prayer room situated in a very student-heavy location so best for studious college students who want to review while snacking on good food and drinks,Store Operations and Accessibility,POSITIVE,False,,,
ems Cafe and Resto,3,coffee,Strategic area with many establishments nearby and shared parking space too.,Store Operations and Accessibility,POSITIVE,False,,,
STASH Coffee Co.,5,coffee,The place is located on the second floor of TBT building with a good amount of parking space.,Store Operations and Accessibility,POSITIVE,False,,,
Seattle's Best Coffee,4,coffee,"The place has a bigger area inside the coffeeshop and the parking, comfortable seats.",Store Operations and Accessibility,POSITIVE,False,,,
Aloha Kakou Neighborhood Cafe,4,coffee,"It offers a spacious parking area and a cozy, beautifully designed space.",Store Operations and Accessibility,POSITIVE,False,,,
Dear Joe Frontera,5,coffee,Naa pod plants which make the atmosphere feel like you are in a jungle or close to nature.,Store Operations and Accessibility,NEUTRAL,False,,,
Coffee For Peace at One Oasis,5,coffee,Close to appartelle oasis,Store Operations and Accessibility,NEUTRAL,False,,,
Green Coffee - Diversion,5,coffee,Original Green Coffee was in Torres Sts it has also good location.,Store Operations and Accessibility,POSITIVE,False,,,
Black Scoop Cafe Matina,4,coffee,It has a highly visible location and a dedicated parking area.,Store Operations and Accessibility,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,4,coffee,"Mostly, what is wow is view and location of the place.",Store Operations and Accessibility,POSITIVE,False,,,
STASH Coffee Co.,5,coffee,Stash has good parking space and tidy comfort room.,Store Operations and Accessibility,POSITIVE,False,,,
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,"the location is delightful wherein you can have mountain view, delicious food and hot coffee.",Store Operations and Accessibility,POSITIVE,False,,,
Glasshouse Coffee,5,coffee,The location is a reminder of how green spaces make things even better.,Store Operations and Accessibility,POSITIVE,False,,,
One Corner Coffee Lifestyle and Beyond,5,coffee,I LOVE THE AMBIANCE <3,Ambiance and Atmosphere,POSITIVE,False,,,
Coffeecat,5,coffee,Love the ambiance and food!,Ambiance and Atmosphere,POSITIVE,False,,,
Fourth Street Cafe,5,coffee,"Minimalist, great ambiance and fast service!",Ambiance and Atmosphere,POSITIVE,False,,,
Paramount Coffee Crocodile Park Davao,5,coffee,Ambiance is so nice and relaxing.,Ambiance and Atmosphere,POSITIVE,False,,,
STASH Coffee Co.,4,coffee,"Delicious coffee, chill vibes.",Ambiance and Atmosphere,POSITIVE,False,,,
Lara Mia Café & Bistro,5,coffee,Love the ambiance too!,Ambiance and Atmosphere,POSITIVE,False,,,
Glasshouse Coffee,5,coffee,The wooden interiors give off a calming vibe.,Ambiance and Atmosphere,POSITIVE,False,,,
olo. Coffee And Concepts,5,coffee,I really like the ambiance and all.,Ambiance and Atmosphere,POSITIVE,False,,,
Glasshouse Coffee,4,coffee,Quiet and elegant,Ambiance and Atmosphere,POSITIVE,False,,,
Humble Table,5,coffee,"The café itself has a cozy vibe, making it a great spot to relax and enjoy a delicious drink.",Ambiance and Atmosphere,POSITIVE,False,,,
Lara Mia Café & Bistro,5,coffee,An aswome restaurant with great food and delightful atmosphere  OK_hand,Ambiance and Atmosphere,POSITIVE,False,,,
Kiks Davao,3,coffee,The rich and bold flavors of the coffee really hit the spot.,Product Quality,POSITIVE,False,,,
PICKUP COFFEE - Oroderm City,5,coffee,The place has such a calm and cozy vibe — definitely a café we'll always keep coming back to.,Ambiance and Atmosphere,POSITIVE,False,,,
Chatime - SM Ecoland Davao,3,coffee,Typical chatime drinks small and fast for your cold milk tea,Product Quality,NEUTRAL,False,,,
MYLK Cafe,5,matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,POSITIVE,False,,,
MYLK Cafe,5,matcha,Space was small but very homey like ambiance,Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Everything is good from ambiance-food-staff.,Ambiance and Atmosphere,POSITIVE,False,,,
Kove,3,coffee,"Sure, it looked neat and added to the overall aesthetic.",Ambiance and Atmosphere,POSITIVE,False,,,
Humble Table,4,coffee,I really like the vibe of this place.,Ambiance and Atmosphere,POSITIVE,False,,,
Indahouse Cafe,5,coffee,Well-made furniture and an atmosphere that's calm but not stiff.,Ambiance and Atmosphere,POSITIVE,False,,,
Pastry Street Pie & Café,5,coffee,pushpin The ambience is very homey  pushpin They had a taste of curated music playlist that sets that comforting vibe.,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Demitasse,4,coffee,Place has Denny's resto kind of ambiance.,Ambiance and Atmosphere,NEUTRAL,False,,,
Matcha Loco,1,matcha,"Not aesthetically pleasing sa personal, untidy and noisy.",Ambiance and Atmosphere,NEGATIVE,True,,,
Steep Kohi,5,coffee,Ordered Matcha Volume 1 enjoyed the drink has a very bold matcha flavor with very slight sweetness.,Product Quality,POSITIVE,False,,,
Café de Vivré,5,coffee,The ambiance of the place is also really nice.,Ambiance and Atmosphere,POSITIVE,False,,,
ROOFTOP Café Bar,5,coffee,"I love the vibe, the food and drinks are great",Ambiance and Atmosphere,POSITIVE,False,,,
Knto Cinco - Puan Branch,5,coffee,The sweetness is just right to your palate and is best paired with coffee.,Product Quality,POSITIVE,False,,,
Door 3 Cafe,5,coffee,me and my gf loved the atmosphere so much!,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Basilico,5,coffee,"From the moment we walked in, we felt right at home in the warm, inviting atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
"The Coffee Bar, Gaisano Mall of Toril",5,coffee,Great ambiance and great food,Ambiance and Atmosphere,POSITIVE,False,,,
Purge Coffee Roaster,4,coffee,It also has a feel good cozy vibe.,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks - Matina IT Park,4,coffee,Coffee is great and the vibe of the place nice.,Ambiance and Atmosphere,POSITIVE,False,,,
Coffeecat,4,coffee,Coffee taste good and cream brulee just suits their coffee,Product Quality,POSITIVE,False,,,
Starbucks Damosa IT Park Drive-Thru,4,coffee,Coffee and ambiance is always great.,Ambiance and Atmosphere,POSITIVE,False,,,
TALA Cafe,5,coffee," star  star  star  star  star  Absolutely fantastic coffee!If you are a true coffee lover, you need to visit this place.",Product Quality,POSITIVE,False,,,
Vibes Cafe,1,coffee,Saba kay ga dungan ang music ug ang saba sa mga tao.,Ambiance and Atmosphere,NEGATIVE,True,,,
Solace - Coffee Club,5,coffee,One of the best spot to chill and dine here in Toril!,Ambiance and Atmosphere,POSITIVE,False,,,
The Secret Garden Cafe,5,coffee,The place itself has a really cozy atmosphere - filled with antiques and plants.,Ambiance and Atmosphere,POSITIVE,False,,,
Outlook,4,coffee,"The atmosphere transforms with the evening lights, creating a cozy and inviting setting perfect for a memorable dining experience.",Ambiance and Atmosphere,POSITIVE,False,,,
Green Coffee - Ecoland,5,coffee,"cold, quiet, and clean green coffee location.",Ambiance and Atmosphere,POSITIVE,False,,,
Binnamon Cafe,5,matcha,1000000/10 for Matcha and Aglio Olio,Product Quality,POSITIVE,False,,,
Solace - Coffee Club,5,coffee,Ambiance is relaxing and their Coffee and Pasta is great!,Ambiance and Atmosphere,POSITIVE,False,,,
Glasshouse Coffee,5,coffee,That itself would say the quality of coffee bean they use... And the Ambience  hundred_points  natural... Best Part is the Bamboo Straws...,Product Quality,POSITIVE,False,,,
Annipie @ The Farm,5,coffee,As always the cinnamon amd their food is good,Product Quality,POSITIVE,False,,,
BRGR Alley Café,5,coffee,The place is nice and aesthetic.,Ambiance and Atmosphere,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,5,coffee,The food and the ambiance is great!,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee Project Mintal,4,coffee,Aesthetics is best ive seen for a coffee shop.,Product Quality,NEUTRAL,False,,,
Aesthetic Beans,2,coffee,Puro aesthetic pero murag sauna ang kainit sa sulod!,Ambiance and Atmosphere,NEGATIVE,True,,,
BRGR Alley Café,5,coffee,"The ambiance is really nice and cozy, making it a perfect place to relax and enjoy your meal.",Ambiance and Atmosphere,POSITIVE,False,,,
Humble Table,5,coffee,Plus points to the aesthetic  smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE,False,,,
Beholden Coffee Experience - CM Recto,5,coffee,"Ambiance is amazing, coffee experience really is unique.",Ambiance and Atmosphere,POSITIVE,False,,,
Annipie Airport View,5,coffee,I like the pistachio milk and also nice ambiance.,Ambiance and Atmosphere,POSITIVE,False,,,
Haron's Cafe,5,coffee,The ambiance is relaxing.,Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,"Coffee Bar Café is a cozy and welcoming spot with rich, flavorful coffee and tasty treats that perfectly complement every cup.",Product Quality,POSITIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",5,coffee,Love the aesthetic place and always to go coffee heart_hands_light_skin_tone  heart_hands_light_skin_tone  heart_hands_light_skin_tone,Product Quality,POSITIVE,False,,,
Annipie Airport View,5,coffee,The ambiance is so good and the food and pastries is very delicious.,Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - Azuela High Street,4,matcha,"If you are looking for a spacious and aesthetic spot to get your matcha fix, THE MATCHA TOKYO is definitely worth a visit.",Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Demitasse,5,coffee,And even the ambiance feels great!,Ambiance and Atmosphere,POSITIVE,False,,,
Kingdom Cafe & Bistro,5,coffee,"From the moment you step into Kingdom Cafe and Bistro, you'll be greeted with a warm and inviting atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
olo. Coffee And Concepts,5,coffee,Chill place and good coffee,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee For Peace at One Oasis,5,coffee,Best coffee and nice ambiance!,Ambiance and Atmosphere,POSITIVE,False,,,
Barok Cafe and Resto,4,coffee,"The place is very pleasing and has a nice, cozy atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,"We all enjoyed the food, service as well as the ambiance!",Ambiance and Atmosphere,POSITIVE,False,,,
Café Prelaya by The Joaquins’ Cheesecakes,4,coffee,The best thing about Cafe Prelaya is its cozy vibe.,Ambiance and Atmosphere,POSITIVE,False,,,
Good One Cafe and Yogurt,3,coffee,"Nice area, very aesthetic.",Ambiance and Atmosphere,POSITIVE,False,,,
Four Season Cafe,5,coffee,The ambiance is relaxing too.,Ambiance and Atmosphere,POSITIVE,False,,,
PICKUP COFFEE - Oroderm City,5,coffee,"There's something special about this coffee shop the cozy atmosphere, the aroma of freshly brewed coffee, and the warmth it brings.",Product Quality,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,5,matcha,Its giving aesthetic  sparkles  pinched_fingers_light_skin_tone,Ambiance and Atmosphere,POSITIVE,False,,,
444 Coffee,5,coffee,loved the smooth spanish latte and the unique blueberry cinnamon.,Product Quality,POSITIVE,False,,,
Wood and Coffee Davao,5,coffee,Wood and Coffee is a charming café known for its cozy ambiance and excellent brews.,Product Quality,POSITIVE,False,,,
Brewed Obrero,2,coffee,Puro aesthetic pero fail sa comfort and temperature.,Ambiance and Atmosphere,NEGATIVE,True,,,
Coffee at Yellow Hauz,4,coffee,Original brewed coffee and Great coffee place,Product Quality,POSITIVE,False,,,
Daleachious Cafe - Ecoland Branch,5,coffee,"love the place, ambiance and the service.",Ambiance and Atmosphere,POSITIVE,False,,,
Steep Coffee,5,coffee,I love it coffee so creamy and delecios,Product Quality,POSITIVE,False,,,
Humble Table,5,coffee,The welcoming ambiance made the whole experience even better.,Ambiance and Atmosphere,POSITIVE,False,,,
ROOFTOP Café Bar,5,coffee,good ambiance despite the rain,Ambiance and Atmosphere,POSITIVE,False,,,
Space-Arabica,5,coffee,The interior has a very relaxing ambience with a soothing ballad music that goes with it.,Ambiance and Atmosphere,POSITIVE,False,,,
BRGR Alley Café,5,coffee,"friendly staff, delicous food, aesthetic vibes red_heart",Ambiance and Atmosphere,POSITIVE,False,,,
Indahouse Cafe,5,coffee,"Super chill atmosphere.""",Ambiance and Atmosphere,POSITIVE,False,,,
Bashh,5,coffee,"Good Ambiance, Very Affordable Delicious Menus and Very Friendly Business,.",Ambiance and Atmosphere,POSITIVE,False,,,
Kove,3,coffee,"The place is nice and has a relaxing, nature-inspired vibe, just as you'd expect.",Ambiance and Atmosphere,POSITIVE,False,,,
BRGR Alley Café,5,coffee,I like the ambiance  winking_face,Ambiance and Atmosphere,POSITIVE,False,,,
Seattle's Best Coffee,5,coffee,Always love the ambiance at the second floor.,Ambiance and Atmosphere,POSITIVE,False,,,
Brew Lane Café,4,coffee,A coffee shop in the downtown area offered a truly welcoming and comfortable atmosphere.,Ambiance and Atmosphere,POSITIVE,False,,,
Aloha Kakou Neighborhood Cafe,5,coffee,"Nice ambiance with very aesthetic, Instagrammable vibes.",Ambiance and Atmosphere,POSITIVE,False,,,
Aloha Kakou Neighborhood Cafe,5,coffee,Loved the ambiance of the place.,Ambiance and Atmosphere,POSITIVE,False,,,
Solace - Coffee Club,5,coffee,"Love the ambiance, coffee, and food.",Ambiance and Atmosphere,POSITIVE,False,,,
Glasshouse Coffee,5,coffee,"If you love coffee, cake and ambiance all in one this is the place to go best in the world so far!!!",Product Quality,POSITIVE,False,,,
Habitat Coffee - Tionko Branch,5,coffee,One of the best coffee shops for photoshoots or tambay!,Ambiance and Atmosphere,POSITIVE,False,,,
The Yolk Society,5,coffee,the sweet taste of matcha blends perfectly with berry's sourness.,Product Quality,POSITIVE,False,,,
Palps Cafe,5,coffee,Love the atmosphere of this place!,Ambiance and Atmosphere,POSITIVE,False,,,
Brew Lane Café,3,coffee,What I really love about this place is the relaxed atmosphere.,Ambiance and Atmosphere,POSITIVE,False,,,
Karlo's Gourmet & Coffee,5,coffee,Karlos Gourmet & Coffee has a cozy vibe and unique menu selections.,Ambiance and Atmosphere,POSITIVE,False,,,
Kotetsu by Wood and Coffee,5,coffee,"I love Kotetsu's aesthetic and concrete design look; it feels warm and not crowded, especially at night!",Ambiance and Atmosphere,POSITIVE,False,,,
Daiko Coffee,5,coffee,"The atmosphere is cozy and homey, perfect for focusing and staying productive.",Ambiance and Atmosphere,POSITIVE,False,,,
"What If, Kape?",5,coffee,Looking for good coffee + Cozy vibe?,Ambiance and Atmosphere,POSITIVE,False,,,
JH Garden Cafe and Restaurant Matina,5,coffee,"I like the ambiance here, it so peaceful perfect for spending time with your loved ones.",Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks - GMall of Davao,5,coffee,"The coffee is perfectly brewed with rich flavor and aroma, and every cup feels crafted with care.",Product Quality,POSITIVE,False,,,
Better Beans Co. - Coffee Roaster (New Location),5,coffee,"They take the time to assist customers and share their knowledge about coffee, creating a welcoming and relaxing atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
The Yolk Society,5,coffee,The atmosphere is great,Ambiance and Atmosphere,POSITIVE,False,,,
Café de Vivré,5,coffee,The atmosphere was so relaxing.,Ambiance and Atmosphere,POSITIVE,False,,,
Aloha Kakou Neighborhood Cafe,4,coffee,Experience a tropical vibe cafe where taste and tranquility meet!,Product Quality,POSITIVE,False,,,
Coffeefolks Cafe,4,coffee,The cozy ambiance of the shop invites you to relax and savor your coffee.,Ambiance and Atmosphere,POSITIVE,False,,,
Wood and Coffee Davao,5,coffee,I highly recommend to visit here and have your simple secret santa with friends if you like the cozy and chill vibe  sparkles,Ambiance and Atmosphere,POSITIVE,False,,,
Hills and Valleys Coffee - Buhangin Davao,5,coffee,Atmosphere that keep you in,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Ureshi Bar,5,matcha,Very aesthetic and taste so good smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE,False,,,
Coffee Project Mintal,4,coffee,The ambiance and the place is great for hanging out.,Ambiance and Atmosphere,POSITIVE,False,,,
Verdeli Garden & Cafe,5,coffee,Nice and quiet place with delicious food that's grown in their own garden.,Ambiance and Atmosphere,POSITIVE,False,,,
"KAOS CAFE - 24 Hours, Jacinto St.",4,coffee,Food is 10/10 in terms of taste and serving.,Product Quality,POSITIVE,False,,,
Solace - Coffee Club,4,coffee,Ambiance there is just like any other cafe's with aesthetic and chill vibes.,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Demitasse,5,coffee,Food & ambiance are equally great!,Ambiance and Atmosphere,POSITIVE,False,,,
BRGR Alley Café,5,coffee,Very nice place the ambiance is so relaxing  smiling_face_with_hearts,Ambiance and Atmosphere,POSITIVE,False,,,
Mori & Mill,5,coffee,Coffee star  star  star  star  star,Product Quality,POSITIVE,False,,,
Bean Xpress Matina Branch,5,coffee,Best way to get coffee and chill,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,The food is good and aesthetic.,Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,4,coffee,I love the atmosphere - relaxing and well lit.,Ambiance and Atmosphere,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Very friendly staff and a nice comfortable atmosphere  growing_heart,Ambiance and Atmosphere,POSITIVE,False,,,
Dakong Balay,5,coffee,"The place has a relaxing and homey atmosphere, perfect for family gatherings and special occasions.",Ambiance and Atmosphere,POSITIVE,False,,,
Kopi lah Roti,4,coffee,Luv the Kaya & coffee with condensed milk reminiscent of Asian coffees,Product Quality,POSITIVE,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Food is good and so is the atmosphere.,Ambiance and Atmosphere,POSITIVE,False,,,
Espresso Lab Cafe Davao,4,coffee,"Ideal place to kill time, well air-conditioned and quiet.",Ambiance and Atmosphere,POSITIVE,False,,,
Paramount Coffee Crocodile Park Davao,5,coffee,Good food and Good atmosphere  red_heart  red_heart  red_heart,Ambiance and Atmosphere,POSITIVE,False,,,
Kove,3,coffee,The place is new and has this nice aesthetic.,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,5,coffee,#NAME?,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Julieta,4,coffee,Bright atmosphere and jovial vibes.,Ambiance and Atmosphere,POSITIVE,False,,,
Sipscape Cafe,5,coffee,The cozy ambiance and friendly staff made the experience even better.,Ambiance and Atmosphere,POSITIVE,False,,,
The Crazy Bite Co. Sky Cafe,4,coffee,Atmosphere: Architecture and designs are great it helps the ambiance more appealing makes the consumers to want more.,Ambiance and Atmosphere,POSITIVE,False,,,
The Secret Garden Cafe,5,coffee,"Overall, The Secret Garden Cafe provides a charming and peaceful ambiance, perfect for those looking to unwind and enjoy good food and company.",Ambiance and Atmosphere,POSITIVE,False,,,
The Secret Garden Cafe,5,coffee,"The place is also equally great, serene little cafe vibe!",Ambiance and Atmosphere,POSITIVE,False,,,
The Yolk Society,5,coffee,Not only an aesthetic cafe but well curated selection of coffee and food heart_hands,Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - Azuela High Street,5,matcha,"It has that calm, cozy vibe that makes you want to stay for a while.",Ambiance and Atmosphere,POSITIVE,False,,,
Whisk It Good Matcha,5,matcha,Atmosphere of the …,Ambiance and Atmosphere,NEUTRAL,False,,,
Kafih - Davao,4,coffee,"The place was great, very clean and aesthetic.",Ambiance and Atmosphere,POSITIVE,False,,,
Black Scoop Cafe Matina,4,coffee,"The coffee shop is very atmospheric, spacious and cozy.",Product Quality,NEUTRAL,False,,,
The Coffee Bar at GMall of Davao,5,coffee,Fave place for tambay,Ambiance and Atmosphere,POSITIVE,False,,,
BRGR Alley Café,5,coffee,"Chill Location, Great Food, Amazing Service",Ambiance and Atmosphere,POSITIVE,False,,,
JH Garden Cafe and Restaurant Matina,5,coffee,"The quality of the food, the impeccable service, and the peaceful ambiance all come together to create a truly unique experience.",Ambiance and Atmosphere,POSITIVE,False,,,
PICKUP COFFEE - Davao Finance Center,5,coffee,very aesthetic place.,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Bar - Marfori,5,matcha,Nice ambiance and good food and matcha,Ambiance and Atmosphere,POSITIVE,False,,,
Whisk Davao Matcha,5,matcha,"about the place…It gives mi chill and good ambience, about the food and drinks yes it absolutely good well balanced.",Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,5,matcha,very good matcha and nice interior,Product Quality,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,5,matcha,very good matcha and nice interior,Product Quality,POSITIVE,False,,,
Glasshouse Coffee,5,coffee,It's located inside a guarded compound with a good ambiance and friendly staff.,Ambiance and Atmosphere,POSITIVE,False,,,
Cafe Gervacios - Pastry and Coffee in Davao City,4,coffee,"The ambiance is ""Noir-chic"" of glossy wood, low ceilings, and a polished aesthetic that feels very classy.",Ambiance and Atmosphere,POSITIVE,False,,,
Koffiepauze,3,matcha,Relaxing ambiance,Ambiance and Atmosphere,POSITIVE,False,,,
Lot 38 Kape,5,coffee,It's super nice and the vibe is great.,Ambiance and Atmosphere,POSITIVE,False,,,
Curiore Cafe,5,coffee,The atmosphere is calm and intimate.,Ambiance and Atmosphere,POSITIVE,False,,,
Daleachious Cafe - Ecoland Branch,1,coffee,"Otherwise, great location and nice interior atmosphere.",Ambiance and Atmosphere,POSITIVE,False,,,
Annipie @ The Farm,5,coffee,Nice ambiance the crews are very attentive,Ambiance and Atmosphere,POSITIVE,False,,,
Kapenato Toril,5,coffee,Aesthetic place but never compromises your comfort and food quality.,Ambiance and Atmosphere,POSITIVE,False,,,
The Matcha Tokyo - SM Davao,5,matcha,love the matcha salted cream,Product Quality,POSITIVE,False,,,
Kape Dabaw,2,coffee,"Saba kaayo ang mga barista mag chika, dungog sa tibook shop.",Ambiance and Atmosphere,NEGATIVE,True,,,
Aesthetic Cafe Davao,2,coffee,"Masyadong dikit-dikit ang tables, zero privacy jud kung mag tabi.",Ambiance and Atmosphere,NEGATIVE,True,,,
Barok Cafe & Resto,1,coffee,"Even if you don't say good morning or excuse me, you're just being polite KY you don't want Saba going to KTV.",Ambiance and Atmosphere,NEUTRAL,False,,,
Poblacion Brews,2,coffee,"Puro aesthetic, walay hangin. Mag mantika gyud imong face.",Ambiance and Atmosphere,NEGATIVE,True,,,
The Coffee Bar at GMall of Davao,2,coffee,so i ate my pasta and just reveled at the comfortable vibe of the coffee shop whilst glancing at my korean tele novela.,Ambiance and Atmosphere,POSITIVE,False,,,
Anniepie,3,coffee,"Annipie sits right in the middle of the mall, making it a cozy and convenient spot to rest and chill after a long day of malling—something we actually don't have much of in Manila, so we decided to try some of their interesting menu items.",Ambiance and Atmosphere,POSITIVE,False,,,
HYGGE COFFEE 2,1,coffee,Place was noisy too and NOT conducive for studying and/or working.,Ambiance and Atmosphere,NEGATIVE,False,,,
Green Coffee - Marfori,3,coffee,Rustic ambiance.,Ambiance and Atmosphere,NEUTRAL,False,,,
Solace - Coffee Club,1,coffee,The cafe music is was so loud it seems like the baristas are in their house.,Ambiance and Atmosphere,NEGATIVE,False,,,
The Secret Garden Cafe,3,coffee,Place is very instagrammable!,Ambiance and Atmosphere,POSITIVE,False,,,
Starbucks,1,coffee,The place has a good ambiance.,Ambiance and Atmosphere,POSITIVE,False,,,
Brewed Obrero,2,coffee,"Puro hype lang, alimuot unya dili conducive mag work.",Ambiance and Atmosphere,NEGATIVE,True,,,
Poblacion Brews,2,coffee,They play club music sa coffee shop. Bati kaayo ug vibe.,Ambiance and Atmosphere,NEGATIVE,True,,,
Aesthetic Beans,1,coffee,"Gahi kaayo ilang mga bangko, dili madalag dugay na lingkod.",Ambiance and Atmosphere,NEGATIVE,True,,,
Matcha Point,1,matcha,"Di nako bet ang vibe, grabe ka banha and disorganized.",Ambiance and Atmosphere,NEGATIVE,True,,,
Green Coffee - Marfori,2,coffee,The atmosphere is really great.,Ambiance and Atmosphere,POSITIVE,False,,,
Matcha Vibes,1,matcha,"Saba kaayo maghugas og plato mga staff, madunggan sa area.",Ambiance and Atmosphere,NEGATIVE,True,,,
Es.cafe,1,coffee,Atmosphere (2/5) the chairs are not very aesthetic.,Ambiance and Atmosphere,NEGATIVE,False,,,
