shop_type,sentence,TargetAspect,sentiment
coffee,The paper cup ruins the over all experience and doesn't justify the premium price that the customers payed for their tea and coffee.,Price and Value,
coffee,Mahal ra kaayo ila menu dili match sa quality.,Price and Value,
coffee,It's too hot inside... Good price and Good Internet connection... No parking space nearby ...24/7,Price and Value,
coffee,"Dili worth it, I'd rather buy coffee somewhere else.",Price and Value,
coffee,The burger is really expensive but the patty is like a minute burger.,Price and Value,
coffee,It was certainly the worst C. but the most expensive,Price and Value,
coffee,"aesthetic stall, cheap priced coffee the coffee aint that bad for its price but dont expect super high quality tasting coffee.",Price and Value,
coffee,Food I would say is pretty expensive for its taste.,Price and Value,
coffee,"Grabe kamahal, mura tag gikuhaan og kwarta sa bulsa.",Price and Value,
coffee,"Food is priced quite high, I think they offer the most expensive Caffe Americano in town at P165  grinning_face_with_sweat  Service is okay but I think the staff can be more sensitive with the ambience they're creating (they're playing loud music in their phones, louder than the background music of their coffee shop).",Price and Value,
coffee,"More sugar than matcha, but good enough for a cheap matcha fix.",Price and Value,
coffee,Lami unta kaso murag overpriced ra jud kaayo sya.,Price and Value,
coffee,Super pricey tapos dili sad kaayo lami ila drinks.,Price and Value,
matcha,I wouldn't pay that much for basic coffee again.,Price and Value,
coffee,"Kurat ko kay naa pay extra service fee sa resibo, unya self-serve man diay gihapon ta sa counter! Scammer moves.",Price and Value,
coffee,Good food and coffee  hot_beverage  at an mid range price,Price and Value,
coffee,Gamay ug serving for a very expensive price tag.,Price and Value,
coffee,Very clean and has high-end furnishings but good value food.,Price and Value,
coffee,For the money so many other nice restraunts in Davao City will be the first and last time for us....It actually reminds me of McDonald's but with double the price.,Price and Value,
coffee,Dili ko ganahan kay expensive ra kaayo for me.,Price and Value,
coffee,Gamay ug cup tapos overpriced pa jud kaayo.,Price and Value,
coffee,Overall 1 star is expensive hahah,Price and Value,
coffee,Grabe ka mahal ang drinks di man lami.,Price and Value,
coffee,"THE BEEF SALPICAO is expensive, but it's antigas and has no flavor.",Price and Value,
coffee,Street vendors have betrer tasting coffee and food with a fraction of the price.,Price and Value,
coffee,Mahal na kaayo ilang drinks nag shrink pa ang cup.,Price and Value,
coffee,Affordable rates with some meals and snack items I hope I get to try pretty soon.,Price and Value,
matcha,I love matcha pero this one is just plain overpriced.,Price and Value,
matcha,Very small serving for an expensive matcha drink.,Price and Value,
coffee,I recently visited Barok Café and tried their Pamahaw Latte.,Product Quality,
coffee,We waited for almost 30 minutes only to be told that we are required to make a purchase a week before the claiming of the free birthday cake slice.,Product Quality,
coffee,Respect for the food and the people who prepared it.,Product Quality,
coffee,This place used to have great staffs that would cater and deliver food to your table but not anymore.,Product Quality,
coffee,"The matcha, priced at ₱250–₱295, came in a small cup that wasn't even filled to the top.",Product Quality,
coffee,Coffee is so so.,Product Quality,
coffee,I stay for the space and WiFi and not really with the coffee they have.,Product Quality,
coffee,"To make a cappucino, its simple, 1 third espresso, 1 third warm milk, 1 third foam.",Product Quality,
coffee,"My wife, our three kids, and I were looking forward to enjoying a relaxing evening with some coffee.",Product Quality,
coffee,We had the Himalayan cafe latte and the matcha latte.,Product Quality,
coffee,What really stood out about this place is its unique offering – a combination of a coffee shop and a car wash.,Product Quality,
coffee,"The Waiting time is on Top: In a ""Coffee Shop"" i expect a fast snack.",Product Quality,
coffee,"We came here craving for desserts and coffee but their cakes are old expired, so dry it crumbles apart when you touch it.",Product Quality,
coffee,But the wait for the order to come for three (3) drinks and a cookie took like 40 minutes give or take.,Product Quality,
coffee,"I was craving for kapeweñoz, it's been a long time since I had a taste of it.",Product Quality,
coffee,I ordered vanilla cold monkey tea with coffee jelly but there's no coffee jelly on it.,Product Quality,
coffee,Better go to other coffee shops near the area (ex: Starbucks Matina IT Park),Product Quality,
coffee,My cousins and I ordered their cold Coffee Durian Gelato and nachos.,Product Quality,
coffee,"also, i didnt taste the coffee/espresso even though its 60/40 (if i am not mistaken, but i am sure its not 100% arabica since i asked the barista).",Product Quality,
coffee,I would say that the coffee was under-extracted.,Product Quality,
coffee,"I specifically ordered the tortilla de patatas con chorizo from Starbucks F. Torres because it didn't contain gluten, a crucial factor for my food allergies.",Product Quality,
coffee,"I used to have coffee here everyday, now it's twice a year.",Product Quality,
coffee,Coffee got served at 5:20-ish so not that long and it's fine since we're not really starving and we get that there are a not of people.,Product Quality,
coffee,"When our drinks were served, the server placed them directly among the leftover food and cups from the previous party.",Product Quality,
coffee,"No ice, the cake is not a whole slice.",Product Quality,
coffee,Turns out the coffee was ready like 5 mins after ordering and no one handed it to us.,Product Quality,
coffee,"Food: Decent but overpriced Service: Expect to wait 90+ minutes on a Sunday Atmosphere: Sit outside adjacent to 3 carparks surrounding you and breathe in the carbon monoxide from the idle viechles as you sit wishing for your food to arrive for 90+ minutes, simply hoping it would arrive so you can get out of here already.",Product Quality,
coffee,OVERPRICED COFFEE!,Product Quality,
coffee,"However, please be aware that most of their drinks here is a bit pricier than Starbucks or other third-wave coffee shops.",Product Quality,
coffee,"I could find similar cozy and big places of similarly priced food & beverages, but with free unlimited water and wifi.",Product Quality,
coffee,"First, the cashier S****** told us that the serving time of our orders, iced matcha latte and iced caramel latte will take 1 hour and 30 mins, we were confused why but we chose to understand so we did not really mind it.",Product Quality,
coffee,Drinks are what they should be.,Product Quality,
coffee,This is the second day straight of me spilling coffee on myself cos of your cup covers.,Product Quality,
coffee,I think they may have put too much resource into that gimmick rather the quality of the food.,Product Quality,
coffee,Place was aesthetically pleasing but very limited options for food and drinks,Product Quality,
coffee,"""Coffee was stale.""",Product Quality,
coffee,"You know that they're ""NASTY"" if they do this because they want you to buy more hot coffee.",Product Quality,
coffee,Coffee is great... A bit pricy nga lang...,Product Quality,
coffee,"No issues with the food...the donuts are what you'd expect from Dunkin', consistent and okay.",Product Quality,
coffee,The baristas are throwing condiments and pitchers in front of us while making the coffee.,Product Quality,
coffee,I thought there was no worse coffee besides DonMac.,Product Quality,
coffee,I ordered food without asking what size my matcha was?,Product Quality,
coffee,Why cant we customize our coffee?!,Product Quality,
coffee,The ambiance is amazing but they should add more to their menu considering that they make tasty food.,Product Quality,
coffee,"BEEF RENDANG, good, and probably the best dish for my taste in Toril, at the moment.",Product Quality,
coffee,"Great Late-Night Spot with a Cozy Vibe If you're looking for a place to grab a drink after the usual cafe hours, Lately Coffee is a solid option.",Product Quality,
coffee,"even my friends who ordered before had the same feedback, medyo way lami raw.",Product Quality,
coffee,"If you're craving actual matcha, this ain't the place.",Product Quality,
coffee,"Their matcha also tastes like malunggay, it has bitter aftertaste.",Product Quality,
matcha,Ordered the iced matcha latte.,Product Quality,
coffee,"Food and beverage aside, The place was clean,comfy and nice.",Product Quality,
coffee,Coffee was good considering its price.,Product Quality,
coffee,My iced americano taste burnt and my carbonara was mid.,Product Quality,
coffee,"Coffee thou  face_savoring_food  acidic, maybe not freshly made.",Product Quality,
coffee,"It's not just bad taste, it's downright criminal for the environment.",Product Quality,
coffee,I can't justify the taste and size for the price.,Product Quality,
coffee,"To the coffee lovers, the coffee shop is in Marfori area.",Product Quality,
coffee,I spent most of my time when going to that building at Elixr Coffee which is now the area occupied as Kapenato's first floor.,Product Quality,
coffee,If you want quality food and drinks that have had more than 5 seconds of thought put into it then do not come here.,Product Quality,
coffee,"We only had 2 drinks and a cake, does it take 30mins to prepare those?",Product Quality,
coffee,"We would not choose the Hour Cafe for a nice dining, but for having a good coffee and/or having a fast snack little bit about local Carenderia, it is good for a stop.",Product Quality,
coffee,8am and they said that their iced coffee wasnt available.,Product Quality,
coffee,Requested for milk on the side for my brewed as I usually do in other coffee shops.,Product Quality,
coffee,"Loved their matcha one day then just the next day, the exact drink tasted so different.",Product Quality,
coffee,Their coffee is starbucks price but not starbucks taste and service.,Product Quality,
coffee,"A nice place where to enjoy a good coffee, chilling.",Product Quality,
coffee,I've been visiting this coffee shop since last year.,Product Quality,
coffee,"After waiting for several minutes and finishing only half of our drinks, we decided to leave because the uncleaned table made the environment too uncomfortable to stay in.",Product Quality,
coffee,Food quality is poor; molds on the bread of the clubhouse sandwich.,Product Quality,
coffee,First one drinks weren't even in the order!,Product Quality,
coffee,Their matcha with coconut cream tastes like grilled chicken,Product Quality,
coffee,Food and coffee is alright.,Product Quality,
coffee,coffee is not good.,Product Quality,
coffee,"Still welcome the idea of a second visit — hopefully, better service/staff attitude and improved food taste.",Product Quality,
coffee,"Plus, some of the food was delicious at that time esp some tocino!",Product Quality,
coffee,I ordered a regular hot matcha latte for takeout at Green Coffee on Diversion Road.,Product Quality,
coffee,The heat of the coffee makes the place even hotter.,Product Quality,
coffee,We ordered our food at 2:29am and it was served to us exactly 3AM.,Product Quality,
coffee,"Because you can't really fire your mother, or give her feedback about her cake without affecting your relationship.",Product Quality,
coffee,"aesthetic stall, cheap priced coffee the coffee aint that bad for its price but dont expect super high quality tasting coffee.",Product Quality,
coffee,"Their matcha could use a bit of improvement, but I absolutely love their coffee and pastries.",Product Quality,
coffee,Food I would say is pretty expensive for its taste.,Product Quality,
coffee,We ordered two drinks and two cakes.,Product Quality,
matcha,Sobra ka init sa second floor kay wala nila palihuga ang aircon didto.,Store Operations and Accessibility,
coffee,Go early because it's a nice spot taken by students who have been studying for a few hours.,Store Operations and Accessibility,
matcha,"Grabe ka layo ang CR gikan sa seating area, kinahanglan mo gawas pa sa building.",Store Operations and Accessibility,
matcha,Naay sign nga wheelchair accessible pero naay steep steps padulong sa entrance.,Store Operations and Accessibility,
coffee and matcha,"Grabe ka sikip ang aisle, dili gani makalabang ang waiter dala ang tray.",Store Operations and Accessibility,
coffee,"Ambience, the cafe's long hours, and friendly staff are its only redeeming qualities.",Store Operations and Accessibility,
coffee and matcha,"Naay sign nga open daily pero close man diay sila every other Tuesday, wala clear.",Store Operations and Accessibility,
coffee,"Overall, the experience did not meet my expectations, and I hope the management improves both their customer service and parking arrangements.",Store Operations and Accessibility,
coffee,"Naay isa lang ka table para sa outdoor, so kapoy ka naghulat og maayo nga slot.",Store Operations and Accessibility,
coffee,Their location is a disadvantage for those who don't have car.,Store Operations and Accessibility,
coffee and matcha,Naay sign nga bukas 24 hours pero pag alas 2am sarado na diay ang doors.,Store Operations and Accessibility,
coffee,A concerning incident involving a staff member's unfamiliarity with the location of the microwave raised questions about operational efficiency.,Store Operations and Accessibility,
coffee,Naay renovation sila pero wala nag inform sa mga customer nga naka book na.,Store Operations and Accessibility,
coffee and matcha,"Walay bisan unsang aircon nga gana, sobra ka init sulod bisan naay AC unit.",Store Operations and Accessibility,
matcha,Change your sign or open on time just dont do this and make ppl wait,Store Operations and Accessibility,
coffee,I understand the long queue at the counter considering new stores usually attract more traffic.,Store Operations and Accessibility,
coffee,Location not easily noticable,Store Operations and Accessibility,
coffee,"Otherwise, great location and nice interior atmosphere.",Store Operations and Accessibility,
coffee,There were 2 cash registers and during peak hours or when the queue is quite long then they should utilize both cashiers rather than chatting and laughing with each other at the side.,Store Operations and Accessibility,
coffee,Sobra ka init sa waiting area kay walay proper ventilation bisan naay fan.,Store Operations and Accessibility,
coffee,"Grabe ka layo padulong sa parking, kinahanglan mo tabok pa sa highway para makaabot.",Store Operations and Accessibility,
coffee,"I've been here a few times since it's one of the few 24/7 cafés in town, and the location is convenient for me when I'm in the area.",Store Operations and Accessibility,
coffee and matcha,"Sarado diay sila sa Sunday, wala pa jud updated sa Google Maps nila.",Store Operations and Accessibility,
coffee,The Hours: One of the best things about this place is that they close late at night.,Store Operations and Accessibility,
coffee,"Grabe ka lisod ang pag reserve, dili gani mo reply sa message pag mag book ka.",Store Operations and Accessibility,
coffee,Sobra ka lisod pangitaon ang entrance kay wala silay tarpaulin o karatula.,Store Operations and Accessibility,
coffee,Naay sign nga open 7am pero pag adto nako alas 8 pa gyud nag abre.,Store Operations and Accessibility,
matcha,"Grabe ka busy sa parking area, mag away pa mi og slot sa laing customer.",Store Operations and Accessibility,
coffee,Open 24 hours but Mondays thru Saturdays only.,Store Operations and Accessibility,
coffee,"One good thing tho, there's a free parking space but not yet cemented.",Store Operations and Accessibility,
coffee,Fit for group gatherings as there are also function rooms and some parking.,Store Operations and Accessibility,
coffee,"Naay isa lang ka toilet para sa buong store, sobra ka daghan naghulat.",Store Operations and Accessibility,
coffee,"Wala silay proper queue system, nag away pa mi kung sino ang una nag order.",Store Operations and Accessibility,
coffee,They don't care if the entrance door is kept open.,Store Operations and Accessibility,
matcha,"April 2026 – Located at Cluster 1, Unit 2 of Azuela High Street in Lanang, The Matcha Tokyo is one of the first establishments to open in this new complex.",Store Operations and Accessibility,
coffee,May dedicated parking space.,Store Operations and Accessibility,
coffee,Parking is very limited and only fits around two cars lang.,Store Operations and Accessibility,
coffee,"Walay parking area, sa gawas ka lang mag park tapos guardian mo singil ug extra.",Store Operations and Accessibility,
coffee,"Grabe ka lisod ang access sa CR, kinahanglan mo hangyo pa sa staff para sa key.",Store Operations and Accessibility,
coffee,Coffee Cat  cat  Good location.,Store Operations and Accessibility,
coffee and matcha,Mag order lang ka pila na ka minuto ang hulat kay kulang ug staff sa counter.,Store Operations and Accessibility,
matcha,"Grabe ka layo gikan sa highway, kinahanglan mo agi pa og dalan nga bumpy kaayo.",Store Operations and Accessibility,
coffee,Reserved parking slots facing the store was pointless as staff were nowhere in sight.,Store Operations and Accessibility,
coffee,Difficult to park and especially leave at these hours not to mention making the left turn after the drive-through facility…My big grumble is with the restricted menu options when driving through…Sometimes even futile for wasted time lining up when I could've gone inside to get what I wanted instead without limit.,Store Operations and Accessibility,
coffee,Kinda glad we came during slow hours.,Store Operations and Accessibility,
coffee,"Wala silay backup generator, pag brownout sarado dayon bisan mid afternoon pa.",Store Operations and Accessibility,
coffee and matcha,"Wala sila mag update sa operating hours nila kada holiday, permi mi na guess lang.",Store Operations and Accessibility,
coffee,We usually eat dinner here with my classmates after our 9 PM class since Hygge is open 24 hours.,Store Operations and Accessibility,
coffee,Plenty of payment options and even parking available—what more could you ask for?,Store Operations and Accessibility,
coffee,Naay sign nga wifi available pero mao gyud ang pinaka sira nga signal sa tibuok area.,Store Operations and Accessibility,
coffee and matcha,"Wala silay proper lighting sa parking area, delikado mag park pag gabii na.",Store Operations and Accessibility,
coffee,"Grabe ka layo sa main road, walay tricycle nga moadto direkta didto.",Store Operations and Accessibility,
coffee,"Puno kaayo walay lingkuranan, wala pa sila mag expand sa space nila.",Store Operations and Accessibility,
coffee,Wifi's fast good for 2 hours only.,Store Operations and Accessibility,
coffee,• i don't know why the parking is set up to be like a box so it's super hard to get in and get out.,Store Operations and Accessibility,
matcha,"Naabot ko alas 3 tapos sarado na, sa Google Maps until 6pm man unta.",Store Operations and Accessibility,
coffee,"Even two hours later, both my wife and I were still experiencing the effects of the fumes, which included lightheadedness and respiratory irritation.",Store Operations and Accessibility,
coffee,Limited parking at the front with a laundry shop next door.,Store Operations and Accessibility,
coffee,"Layo kaayo ang nearest jeepney stop, mag lakaw pa ka og pito ka minuto.",Store Operations and Accessibility,
coffee,"I like the ambience but only limited parking, like 3-4 cars.",Store Operations and Accessibility,
coffee,"I just needed a place to sit (the chairs at the airport are little that some people are sitting on the floor and trolleys, some passengers are sleeping like 1 is occupying a whole bench for 3-4 people just lying there) because there are few more hours I needed to wait so I ordered.",Store Operations and Accessibility,
coffee,"Wala silay clear schedule, lahi lahi permi ang closing time depende sa staff.",Store Operations and Accessibility,
coffee,"Wala silay parking guard, mag guess na lang ka kung safe ba ipark diri sakyanan.",Store Operations and Accessibility,
coffee,The security personnel at the parking made me quite irritable.,Store Operations and Accessibility,
coffee,CR out of order since last week pero wala pa gihapon giayo.,Store Operations and Accessibility,
coffee,24 hours.,Store Operations and Accessibility,
coffee,Naay isa lang ka parking slot para sa disabled pero permi na lang naka park ang staff.,Store Operations and Accessibility,
coffee and matcha,"Sarado sila without notice, nakaabot ra mi para ma disappoint.",Store Operations and Accessibility,
coffee,"Nowhere to park near the spot because the owner of the house parked their vehicles literally on the road, greatly obstructing traffic considering the spot is within 6 meters from the curb.",Store Operations and Accessibility,
coffee,I cannot finish everything we ordered because we are so close to the bathroom and I can hear everything the staff whispering.,Store Operations and Accessibility,
coffee,"So sad... Two years before: At this time the best ""close to a restaurant"" in Mintal.",Store Operations and Accessibility,
coffee,Naay sign nga accessible pero naay hagdan pa diay una mo abot sa entrance.,Store Operations and Accessibility,
coffee,"Grabe ka gamay ang doorway, dili gani makasulod ang wheelchair nga tarong.",Store Operations and Accessibility,
coffee,too early close,Store Operations and Accessibility,
coffee,"Because it is located within the DGT development, parking is easy and readily available.",Store Operations and Accessibility,
coffee,They could've made use of their space outside though for guests who want open air,Store Operations and Accessibility,
coffee,Sobra ka layo padulong sa pinaka duol nga public transport para sa store nga ni.,Store Operations and Accessibility,
matcha,"Grabe ka gamay ang space, dili gani ka fit ang wheelchair sa entre way.",Store Operations and Accessibility,
coffee,"Grabe ka layo ang nearest ATM, wala pud sila accept card kaya kinahanglan magbring cash.",Store Operations and Accessibility,
coffee,Access going to sbucks is too far from parking lot.,Store Operations and Accessibility,
coffee,Open Tuesday to Sunday from 7am till 2am.,Store Operations and Accessibility,
coffee,"Layo kaayo sa main road, wala pa gani gi maayo ang dalan padulong didto.",Store Operations and Accessibility,
coffee,"There is a parking outside if you have a car, but its a bit off when viewed from the outside considering the neighboring establishments or residential.",Store Operations and Accessibility,
coffee,The rich and bold flavors of the coffee really hit the spot.,Product Quality,
coffee,Typical chatime drinks small and fast for your cold milk tea,Product Quality,
